otu_id,mean_abundance,occurrence,taxonomy_0,taxonomy_1,taxonomy_2,taxonomy_3,taxonomy_4,taxonomy_5,taxonomy_6,predicted_occurrence,lower_conf_int,upper_conf_int
2235,1.1161960040183056e-05,0.023529411764705882,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,f__,g__,s__,0.006479563570656599,0.0018777959212227507,0.022108729953312756
84096,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Gordoniaceae,g__Gordonia,s__alkanivorans,0.006479563570656599,0.0018777959212227507,0.022108729953312756
286727,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Azospirillum,s__oryzae,0.006479563570656599,0.0018777959212227507,0.022108729953312756
701042,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__marseillense,0.006479563570656599,0.0018777959212227507,0.022108729953312756
256839,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Shewanellaceae,g__Shewanella,s__decolorationis,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1197,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Cyanobacteria,c__,o__Nostocales,f__Rivulariaceae,g__Microchaete,s__diplosiphon,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2077182,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingorhabdus,s__sp. YGSMI21,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1561022,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp. CCM_MD2014,0.006479563570656599,0.0018777959212227507,0.022108729953312756
338565,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Erwiniaceae,g__Erwinia,s__tasmaniensis,0.006479563570656599,0.0018777959212227507,0.022108729953312756
576610,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Polynucleobacter,s__necessarius,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1914861,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Enterobacter,s__sp. SA187,0.006479563570656599,0.0018777959212227507,0.022108729953312756
465541,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp. Mg1,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1715720,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Diaphorobacter,s__ruginosibacter,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2692233,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp. HF10,0.006479563570656599,0.0018777959212227507,0.022108729953312756
742013,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Delftia,s__sp. Cs1-4,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2601898,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Noviherbaspirillum,s__sp. UKPF54,0.006479563570656599,0.0018777959212227507,0.022108729953312756
123824,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Frederiksenia,s__canicola,0.006479563570656599,0.0018777959212227507,0.022108729953312756
496056,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Anseongella,s__ginsenosidimutans,0.006479563570656599,0.0018777959212227507,0.022108729953312756
160660,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Ectothiorhodospiraceae,g__Acidihalobacter,s__prosperus,0.006479563570656599,0.0018777959212227507,0.022108729953312756
468,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__,s__,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2182384,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Erythrobacteraceae,g__Erythrobacter,s__aureus,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1322,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__hansenii,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1908198,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Salinivibrio,s__kushneri,0.006479563570656599,0.0018777959212227507,0.022108729953312756
60961,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Shewanellaceae,g__Shewanella,s__woodyi,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1049,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Allochromatium,s__vinosum,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1433126,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Mucinivorans,s__hirudinis,0.006479563570656599,0.0018777959212227507,0.022108729953312756
85009,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__,g__,s__,0.006479563570656599,0.0018777959212227507,0.022108729953312756
353,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Azotobacter,s__chroococcum,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1906744,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Rodentibacter,s__heylii,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1547898,1.1161960040183056e-05,0.023529411764705882,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Haloferacales,f__Haloferacaceae,g__Haloplanus,s__rubicundus,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2220095,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Cryobacterium,s__soli,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2600159,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Arthrobacter,s__sp. UKPF54-2,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1165,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Cyanobacteria,c__,o__Nostocales,f__Nostocaceae,g__Anabaena,s__cylindrica,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2067960,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Zoogloeaceae,g__Azoarcus,s__sp. SY39,0.006479563570656599,0.0018777959212227507,0.022108729953312756
453230,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfarculales,f__Desulfarculaceae,g__Desulfarculus,s__baarsii,0.006479563570656599,0.0018777959212227507,0.022108729953312756
283686,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Kosakonia,s__radicincitans,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2692125,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Winkia,s__sp. C64,0.006479563570656599,0.0018777959212227507,0.022108729953312756
621,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Shigella,s__boydii,0.006479563570656599,0.0018777959212227507,0.022108729953312756
387341,1.1161960040183056e-05,0.023529411764705882,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Halovivax,s__ruber,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2714942,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__sp. HDW15A,0.006479563570656599,0.0018777959212227507,0.022108729953312756
72763,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Tessaracoccus,s__,0.006479563570656599,0.0018777959212227507,0.022108729953312756
53412,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__resinovorans,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1032851,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__nuruki,0.006479563570656599,0.0018777959212227507,0.022108729953312756
29388,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__capitis,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1578165,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacteroides,s__saopaulense,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2231055,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Azonexaceae,g__Dechloromonas,s__sp. HYN0024,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1350,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1379270,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__phototrophica,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2060726,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Neorhizobium,s__sp. SOG26,0.006479563570656599,0.0018777959212227507,0.022108729953312756
192843,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Rhodoferax,s__ferrireducens,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1416803,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Bordetella,s__genomosp. 9,0.006479563570656599,0.0018777959212227507,0.022108729953312756
623,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Shigella,s__flexneri,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1074311,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Vibrionales,f__Vibrionaceae,g__Vibrio,s__alfacsensis,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2750025,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__sp. CB00271,0.006479563570656599,0.0018777959212227507,0.022108729953312756
33934,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Anoxybacillus,s__flavithermus,0.006479563570656599,0.0018777959212227507,0.022108729953312756
728,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Avibacterium,s__paragallinarum,0.006479563570656599,0.0018777959212227507,0.022108729953312756
39691,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycolicibacterium,s__moriokaense,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1158459,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Kosakonia,s__sacchari,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1678128,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Limnohabitans,s__sp. 63ED37-2,0.006479563570656599,0.0018777959212227507,0.022108729953312756
28118,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Odoribacter,s__splanchnicus,0.006479563570656599,0.0018777959212227507,0.022108729953312756
190323,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Plantibacter,s__,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2734,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Symbiobacteriaceae,g__Symbiobacterium,s__thermophilum,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1736226,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__sp. Leaf58,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2305987,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Lentilitoribacter,s__sp. Alg239-R112,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2742145,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Oricola,s__sp. MEBiC13590,0.006479563570656599,0.0018777959212227507,0.022108729953312756
423351,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter,s__paludis,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1639,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Listeriaceae,g__Listeria,s__monocytogenes,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1120045,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium,s__grahamii,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2599296,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Litoreibacter,s__sp. LN3S51,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1642646,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Dysgonomonadaceae,g__Petrimonas,s__mucosa,0.006479563570656599,0.0018777959212227507,0.022108729953312756
466153,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Isosphaerales,f__Isosphaeraceae,g__Singulisphaera,s__acidiphila,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2565782,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Luteimonas,s__yindakuii,0.006479563570656599,0.0018777959212227507,0.022108729953312756
148447,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Paraburkholderia,s__phymatum,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2698682,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Lysobacter,s__oculi,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2725558,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingorhabdus,s__sp. JK6,0.006479563570656599,0.0018777959212227507,0.022108729953312756
43771,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__urealyticum,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2650471,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Pirellulales,f__Lacipirellulaceae,g__Lacipirellula,s__parvula,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1679721,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Herbinix,s__luporum,0.006479563570656599,0.0018777959212227507,0.022108729953312756
76947,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__herbicidovorans,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2528243,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Saccharomonospora,s__sp. 31sw,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2493677,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,s__sp. M6A.T.Cr.TU.016.01.1.1,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1385591,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__sp. BDU6,0.006479563570656599,0.0018777959212227507,0.022108729953312756
122355,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__psychrophila,0.006479563570656599,0.0018777959212227507,0.022108729953312756
120962,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Chloroflexi,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__Roseiflexus,s__castenholzii,0.006479563570656599,0.0018777959212227507,0.022108729953312756
507626,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae,g__Halomonas,s__chromatireducens,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2719023,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Pseudonocardiales,f__Pseudonocardiaceae,g__Saccharopolyspora,s__sp. ASAGF58,0.006479563570656599,0.0018777959212227507,0.022108729953312756
160699,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Agrobacterium,s__larrymoorei,0.006479563570656599,0.0018777959212227507,0.022108729953312756
132919,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus,s__jostii,0.006479563570656599,0.0018777959212227507,0.022108729953312756
152794,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__efficiens,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2500546,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,s__sp. HY056,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1423,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__subtilis,0.006479563570656599,0.0018777959212227507,0.022108729953312756
226,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Alteromonas,s__,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1428,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__thuringiensis,0.006479563570656599,0.0018777959212227507,0.022108729953312756
161895,1.255720504520594e-05,0.026470588235294117,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__phocae,0.007290979444753765,0.002252215626179119,0.02333901142743615
106370,1.255720504520594e-05,0.023529411764705882,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Frankiales,f__Frankiaceae,g__Frankia,s__casuarinae,0.007290979444753765,0.002252215626179119,0.02333901142743615
379684,1.255720504520594e-05,0.026470588235294117,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Rhizobium,s__pseudoryzae,0.007290979444753765,0.002252215626179119,0.02333901142743615
2742,1.255720504520594e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Marinobacter,s__,0.007290979444753765,0.002252215626179119,0.02333901142743615
2017482,1.255720504520594e-05,0.026470588235294117,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Thalassococcus,s__sp. S3,0.007290979444753765,0.002252215626179119,0.02333901142743615
67081,1.255720504520594e-05,0.026470588235294117,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycolicibacterium,s__alvei,0.007290979444753765,0.002252215626179119,0.02333901142743615
2320867,1.255720504520594e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__sp. K2W31S-8,0.007290979444753765,0.002252215626179119,0.02333901142743615
1874317,1.255720504520594e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Alteromonadaceae,g__Marinobacter,s__salinus,0.007290979444753765,0.002252215626179119,0.02333901142743615
2184519,1.255720504520594e-05,0.026470588235294117,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Hydrogenophaga,s__sp. NH-16,0.007290979444753765,0.002252215626179119,0.02333901142743615
1771309,1.255720504520594e-05,0.026470588235294117,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Halomonadaceae,g__Salinicola,s__tamaricis,0.007290979444753765,0.002252215626179119,0.02333901142743615
1126833,1.255720504520594e-05,0.026470588235294117,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__beijingensis,0.007290979444753765,0.002252215626179119,0.02333901142743615
